Feature,Importance
만료일(일),0.8109307232882492
자동갱신_동의여부,0.7510596172130702
만료요일,0.6662236811029532
결제일(일),0.6378007168695699
구독_직접_취소여부,0.3960021035281428
가입기간(일),0.3747445600042432
결제수단ID,0.3275303587039437
누적결제수,0.3037712916153066
결제요일,0.283423702949595
거주도시,0.2112256173249206
구독플랜일수,0.209091514755692
월간접속일수,0.2044421335937764
실제_결제금액,0.2017428908924208
30일_정기구독,0.1600324361451185
스킵 청취 곡수(25% 미만),0.1573120946008408
완독 청취 곡수(100%),0.1521670294997408
구독 정가,0.1416334333864832
가입일(일),0.1150095378999099
고유 재생 곡수,0.1131252136939721
중기 청취 곡수(75%),0.1128564839506985
총청취시간(초),0.0942069188553089
장기 청취 곡수(98.5%),0.0873946328685219
단기 청취 곡수(50%),0.0838306496999935
가입월,0.0649821355045269
성별: 미입력,0.0601683683321938
결제수단ID_34번,0.0594971476496495
가입요일,0.0561852514472956
가입채널,0.0430716883079131
가입연도,0.0389606307702685
성별: 여성,0.020614821405472
성별: 남성,0.0163950750353657
결제수단ID_31번,0.0070313354989257
