Feature,Importance
만료일(일),11449
가입기간(일),11107
스킵 청취 곡수(25% 미만),9458
결제일(일),8733
고유 재생 곡수,8590
누적결제수,8104
가입일(일),7802
단기 청취 곡수(50%),7445
완독 청취 곡수(100%),7290
총청취시간(초),6773
장기 청취 곡수(98.5%),6534
만료요일,6280
중기 청취 곡수(75%),5998
월간접속일수,5972
가입월,5093
거주도시,4757
결제요일,4672
가입요일,4306
결제수단ID,3580
가입채널,1848
구독 정가,1733
가입연도,1527
자동갱신_동의여부,1409
실제_결제금액,1128
구독_직접_취소여부,1077
성별: 남성,885
성별: 여성,846
성별: 미입력,691
결제수단ID_31번,690
구독플랜일수,588
결제수단ID_34번,179
30일_정기구독,120
