,precision,recall,f1-score,support
0,0.9868983786544109,0.9980418843097911,0.9924388515185151,185893.0
1,0.9656441717791411,0.8059713250354498,0.8786122203615441,12694.0
accuracy,0.9857644256673398,0.9857644256673398,0.9857644256673398,0.9857644256673398
macro avg,0.9762712752167759,0.9020066046726205,0.9355255359400296,198587.0
weighted avg,0.9855397756135538,0.9857644256673398,0.9851628704326101,198587.0
