,precision,recall,f1-score,support
0,0.9952592737402864,0.9237289233919569,0.9581609504444706,154318.0
1,0.46125326131734334,0.9368724432874674,0.6181639726405546,10756.0
accuracy,0.9245853374850067,0.9245853374850067,0.9245853374850067,0.9245853374850067
macro avg,0.7282562675288149,0.9303006833397122,0.7881624615425126,165074.0
weighted avg,0.960464159611949,0.9245853374850067,0.9360072042866328,165074.0
