Feature,Importance
tx_pp_days_30,0.3972598395876562
tx_is_cancel,0.2622058614132356
tx_expire_month,0.1505320630597692
tx_trans_month,0.04584025511657346
tx_trans_day,0.03803091072465442
tx_trans_count,0.021799677485039692
tx_trans_year,0.016677014590096875
tx_expire_day,0.0112551053650811
tx_actual_amount_paid,0.011200678265409204
tx_is_auto_renew,0.009691409429360736
log_count,0.009588002300755032
tx_expire_year,0.005036401213319606
tx_plan_list_price,0.003975006232643241
tx_expire_weekday,0.001985686412324595
num_25,0.0019276308283001948
tx_pm_id_41,0.0015155862927678251
reg_day,0.0015099740216634888
total_secs,0.001401268658909703
num_unq,0.0011976482397061702
reg_time_num,0.001125054579571325
num_100,0.0009001447157841148
tx_payment_plan_days,0.0007686780031680728
num_50,0.0007515355789524582
city,0.0006513302768646286
reg_month,0.0005950712406666226
num_75,0.0005367913310396482
tx_trans_weekday,0.0004925284174490838
num_985,0.00043828838686369733
reg_weekday,0.0003038842370068017
registered_via,0.0002597644368913601
reg_year,0.00025367653954453913
gender_male,0.0001367160562699147
gender_unknown,0.00011537473911774101
gender_female,3.516791507846181e-05
tx_pm_id_38,5.9743084651361786e-06
tx_payment_method_id,0.0
