Feature,Importance
days_until_expire,4624
days_since_last_tx,3658
tenure_days,2622
listen_trend_ratio,1668
completion_rate,1578
plays_recent30,1480
listen_regularity,1468
skip_rate,1465
plays_prev30,1463
bd,1357
total_secs,1257
engagement_score,1234
avg_paid,1173
num_unq,1149
log_count,1143
city,1034
days_since_last_listen,716
registered_via,481
auto_renew_ratio,346
gender_enc,261
cancel_ratio,246
plan_days_mean,232
active_days,218
avg_discount_rate,116
discount_ratio,11
plan_variety,0
tx_count,0
payment_methods,0
downgrade_count,0
