feature,importance
days_since_last_tx,1.1285696638958738
avg_paid,0.6713655599123547
auto_renew_ratio,0.5803387421111061
days_until_expire,0.4781127796521724
city,0.3434174254896178
registered_via,0.26811023453488136
engagement_score,0.17192654305939717
tenure_days,0.17037652354715524
cancel_ratio,0.15572746204614882
num_unq,0.10969842061773843
completion_rate,0.0983520783945586
log_count,0.09379264774965226
listen_regularity,0.08396290564755438
plays_prev30,0.06715521473898815
listen_trend_ratio,0.05886393511039371
plays_recent30,0.05650925133253074
total_secs,0.05635249157724949
skip_rate,0.052521903238823
days_since_last_listen,0.05135667647471387
bd,0.04277261333806087
active_days,0.030437376808250236
gender_enc,0.012465157935121363
plan_days_mean,0.008570030515213253
avg_discount_rate,0.004414894059996516
discount_ratio,0.00039888173379498004
plan_variety,0.0
tx_count,0.0
payment_methods,0.0
downgrade_count,0.0
