Model,Log Loss,AUC,F1
Decision Tree,0.10932403516743322,0.989782433792681,0.638701017089163
LightGBM,0.0767912612948508,0.9935818316805055,0.749750499001996
XGBoost,0.041643759959002206,0.9922164403798754,0.8786122203615441
