,precision,recall,f1-score,support
0,0.9962391960584096,0.9604611254861668,0.9780230615430966,185893.0
1,0.6205472379969025,0.946904049157082,0.749750499001996,12694.0
accuracy,0.9595945353925484,0.9595945353925484,0.9595945353925484,0.9595945353925484
macro avg,0.808393217027656,0.9536825873216244,0.8638867802725463,198587.0
weighted avg,0.9722243626824446,0.9595945353925484,0.9634315127060794,198587.0
