Feature,mean_abs_shap
tx_expire_month,0.03587579772906716
tx_is_cancel,0.03262327205748864
tx_pp_days_30,0.02826975310413943
tx_trans_day,0.021909604831791944
tx_is_auto_renew,0.01328968004698871
tx_expire_day,0.0058200539374094265
tx_trans_month,0.005693994661094852
tx_plan_list_price,0.0036364817290955812
tx_expire_year,0.0034547692939800724
tx_trans_count,0.003258580140213018
log_count,0.002661847607135469
tx_trans_year,0.0024972481690250666
tx_payment_plan_days,0.001477782927775905
tx_actual_amount_paid,0.0013847922603490294
tx_expire_weekday,0.0006490222706966491
num_25,0.0005549132716900811
reg_day,0.000461927598431616
total_secs,0.0004266132472514374
num_50,0.000371831534635036
tx_pm_id_41,0.0003567218457699558
city,0.00035526199180745853
num_unq,0.0002818143690552528
reg_time_num,0.000227670577696325
num_100,0.00021035128011570917
reg_month,0.00010187182021988369
num_75,9.861709494630545e-05
registered_via,8.996397270447151e-05
num_985,8.130849683193184e-05
tx_trans_weekday,5.5712538234606865e-05
reg_weekday,4.297916374854187e-05
gender_unknown,3.8500651965632415e-05
reg_year,3.075214511102196e-05
gender_male,1.5605272047404888e-05
tx_pm_id_38,8.376276515125539e-06
gender_female,3.566160642861801e-06
tx_payment_method_id,0.0
