Feature,mean_abs_shap
tx_actual_amount_paid,0.6025353851937005
tx_payment_method_id,0.5817782978564998
tx_is_auto_renew,0.5121923633734263
tx_expire_month,0.4412238819033785
tx_plan_list_price,0.3978215891446705
tx_trans_weekday,0.3885005222986174
tx_expire_weekday,0.33178862566152956
reg_time_num,0.3283029951985468
tx_is_cancel,0.3115070121782569
tx_expire_day,0.23301168056418092
tx_trans_count,0.21787779167442345
last_listen_date,0.14787551255333833
tx_pp_days_30,0.11232916979444844
tx_pm_id_41,0.08925401432259598
reg_year,0.08017594603731447
tx_expire_year,0.07295766347193403
tx_payment_plan_days,0.06835417444060712
num_100,0.06655971490130107
num_985,0.06321670658760888
city,0.05944376834335758
num_25,0.055772391408077715
total_secs,0.046931384064334794
tx_trans_month,0.046120064013439654
reg_day,0.04588541513913058
num_unq,0.04441753650387898
registered_via,0.043588443842577505
num_75,0.038568041954025585
num_50,0.03681078642573025
log_count,0.03252696169493326
reg_month,0.031620081812806344
tx_trans_year,0.025667812981474854
tx_pm_id_38,0.019668057731265353
reg_weekday,0.019307534340913843
gender_unknown,0.006477665975396184
gender_male,0.006430773038451181
gender_female,0.004869222661283861
