,precision,recall,f1-score,support
0,0.9965509751393762,0.9811040766205069,0.988767200224656,154319.0
1,0.7782003498897087,0.9512784751278475,0.8560789892059242,10755.0
accuracy,0.9791608611895272,0.9791608611895272,0.9791608611895272,0.9791608611895272
macro avg,0.8873756625145424,0.9661912758741772,0.92242309471529,165074.0
weighted avg,0.982324864579505,0.9791608611895272,0.9801222185224713,165074.0
