Feature,Importance
tx_expire_day,2578
reg_time_num,2352
tx_trans_weekday,1912
num_25,1758
tx_payment_method_id,1688
tx_expire_weekday,1568
reg_day,1554
num_unq,1496
num_50,1297
num_985,1234
num_100,1215
num_75,1181
total_secs,1156
tx_trans_count,1039
tx_expire_month,971
log_count,961
reg_month,894
city,869
last_listen_date,815
reg_weekday,634
tx_is_auto_renew,590
tx_plan_list_price,484
tx_actual_amount_paid,481
registered_via,377
reg_year,313
tx_trans_month,302
tx_is_cancel,217
tx_trans_year,197
tx_expire_year,183
tx_payment_plan_days,127
gender_male,125
gender_unknown,123
gender_female,103
tx_pm_id_38,90
tx_pp_days_30,61
tx_pm_id_41,55
