feature,importance
tx_pp_days_30,0.64950126
tx_is_cancel,0.11027928
tx_expire_month,0.04251238
tx_is_auto_renew,0.027426891
tx_trans_month,0.023067636
tx_payment_plan_days,0.01796758
tx_trans_count,0.017172487
tx_trans_year,0.0151412
tx_pm_id_41,0.011684616
tx_trans_weekday,0.011618257
tx_trans_day,0.011475303
tx_actual_amount_paid,0.009748805
tx_expire_year,0.007705583
tx_plan_list_price,0.0074111773
tx_pm_id_38,0.0060036224
tx_expire_day,0.0045259297
tx_expire_weekday,0.0042612995
log_count,0.0037814043
reg_time_num,0.0026070236
city,0.0012382958
num_50,0.001190569
num_unq,0.0011783718
num_25,0.0011535656
reg_year,0.0011458646
num_985,0.0011323185
gender_male,0.0011287457
reg_day,0.0010190962
total_secs,0.0009900504
num_75,0.000987281
registered_via,0.0009633808
num_100,0.0009572283
reg_weekday,0.0008099561
gender_female,0.00076626294
reg_month,0.0007530257
gender_unknown,0.00069420075
tx_payment_method_id,0.0
